PMID,Title,Author,Abstract
24971291,"Spiritual intelligence, resiliency, and withdrawal time in clients of methadone maintenance treatment",Behnaz Shahbakhsh,"Background: Reports show an increasing interest in spirituality. It has been revealed that people with spiritual tendencies, can better deal with a trauma, manage the stressful situations, and have greater improvement in their health condition. Objectives: Our aim was to examine the relationship between spiritual intelligence and resiliency, and the relation of these two variables with the withdrawal time of individuals treated with methadone. Materials and methods: This research was conducted on patients referred to the addiction center of Baharan Psychiatric Hospital in Zahedan, Iran. Our sample included 100 referrals; they were provided with questionnaires and asked to answer them honestly. King's spiritual intelligence questionnaire and resilience questionnaires were used. Results: There were significant positive correlations between resiliency and scores of spiritual intelligence as well as with subscales of spiritual intelligence. In addition, there were significant positive correlations between withdrawal time and scores of spiritual intelligence as well as with subscales of spiritual intelligence as well as with resiliency. Conclusions: Relationships between the spiritual intelligence and resiliency parameters with withdrawal time show that these parameters can have a role in relapse protection among addicted people."
24943404,Why is intelligence associated with stability of happiness?,Satoshi Kanazawa,"In the National Child Development Study, life-course variability in happiness over 18 years was significantly negatively associated with its mean level (happier individuals were more stable in their happiness, and it was not due to the ceiling effect), as well as childhood general intelligence and all Big Five personality factors (except for Agreeableness). In a multiple regression analysis, childhood general intelligence was the strongest predictor of life-course variability in life satisfaction, stronger than all Big Five personality factors, including Emotional stability. More intelligent individuals were significantly more stable in their happiness, and it was not entirely because: (1) they were more educated and wealthier (even though they were); (2) they were healthier (even though they were); (3) they were more stable in their marital status (even though they were); (4) they were happier (even though they were); (5) they were better able to assess their own happiness accurately (even though they were); or (6) they were better able to recall their previous responses more accurately or they were more honest in their survey responses (even though they were both). While I could exclude all of these alternative explanations, it ultimately remained unclear why more intelligent individuals were more stable in their happiness."
24924230,Intrauterine environment and cognitive development in young twins,E E Antoniou,"Intrauterine factors important for cognitive development, such as birth weight, chorionicity and umbilical cord characteristics were investigated. A total of 663 twin pairs completed the Wechsler Intelligence Scale for Children-Revised and scores were available for Performance, Verbal and Total Intelligence Quotient (IQ). The intrauterine factors examined were birth weight, placental weight and morphology, cord knots, cord length and cord insertion. IQ scores for the varying levels of the intrauterine markers adjusting for gender and gestational age were calculated. The heritability of IQ and the association between IQ and intrauterine environment were examined. Twins with lower birth weight and cord knots had lower IQ scores. The aetiology of IQ is largely distinct from that of birth weight and cord knots, and non-shared environment may influence the observed relationships."
24829119,A meta-analysis of adult-rated child personality and academic performance in primary education,Arthur E Poropat,"Background: Personality is reliably associated with academic performance, but personality measurement in primary education can be problematic. Young children find it difficult to accurately self-rate personality, and dominant models of adult personality may be inappropriate for children. Aims: This meta-analysis was conducted to determine the validity of the Five-Factor Model (FFM) of personality for statistically predicting children's academic performance. Sample: Literature search identified 12 reports, with cumulative sample sizes ranging from 4,382 (19 correlations) to 5,706 (23 correlations) for correlations with Emotional Stability and Conscientiousness respectively. Method: Hunter-Schmidt random-effects meta-analysis was used, and moderators were tested using sample-weighted regression. Results: When compared with self-rated measures, adult-rated Conscientiousness and Openness were more strongly correlated with academic performance, but adult-rated Agreeableness was less strongly correlated. Q-set-based assessments had lower validity, which appeared to explain moderating effects of rating source. Moderating effects were not found for age, year of education (grades 1-7), or language within which the study was conducted. Conclusions: Conscientiousness and Openness had two of the strongest correlations with academic performance yet reported, comparable with previous meta-analytic correlations of academic performance with instructional quality, cognitive ability, and feedback. The FFM appears to be valid for educational research with children. Openness, which has no counterpart in models of children's temperament, should be further researched with children. Future research should examine the measurement of childhood personality, its relationship with intelligence, the extent to which it is malleable in primary education, and its causal relationship with academic performance."
24826496,Unreliable block span reveals simulated intellectual disability on the stanford-binet intelligence scales-fifth edition,Alyse Barker,"Previously developed validity measures are largely lacking in their ability to accurately distinguish malingerers from individuals with genuine intellectual disabilities (ID). The purpose of the present study was to develop a validity index for the Stanford-Binet Intelligence Scales-Fifth Edition (SB-5) aimed at detecting malingered ID. Fifty-four college students were instructed to feign impairment consistent with mental retardation while completing the SB-5. Simulated malingerers performed significantly poorer on the Block Span task of the SB-5 than did individuals with genuine impairment. A Block Span Validity Index (BSVI) cutoff score of less than 10 showed perfect specificity by correctly identifying all persons with true ID and demonstrated 52% sensitivity in identifying persons feigning impairment. For the detection of malingered ID, the BSVI yielded favorable results, although more research is needed to validate the BSVI using a known-groups study design."
24826491,Cold pressor-induced pain does not impair WAIS-IV processing speed index or working memory index performance,Joseph Etherton,"Chronic pain frequently involves cognitive complaints such as concentration and memory deficits, but studies of the effects of pain on cognition have not consistently demonstrated deficits and have not typically utilized standard neuropsychological instruments. Effects of cold pressor-induced pain on Wechsler Adult Intelligence Scale-Fourth Edition Processing Speed Index (PSI) and Working Memory Index (WMI) performance was examined in nonclinical volunteers (n = 40). All took one PSI subtest and one WMI subtest normally, and then took different PSI and WMI subtests during cold pressor-induced pain or painless warm-water immersion. Scaled scores for normal administration versus pain or painless water immersion did not differ and there was no interaction between group (control vs. pain) and manner of administration, despite moderately severe mean pain ratings (M = 6.8 on a 0-10 pain-rating scale). Results indicate that induced pain in nonclinical volunteers does not impair PSI or WMI performance, and they suggest that chronic pain per se should not be expected to substantially affect these cognitive functions. However, patients with chronic pain may differ from nonclinical volunteers in their experience of pain, potentially limiting generalizability."
24821505,The cultural background of the non-academic concept of psychology in Japan: its implications for introductory education in psychology,Yuki Ashitaka,"No research has empirically explored the non-academic concept of psychology itself (implicit theories) in non-Western cultures despite a widely held belief that this understanding differs cross-culturally. This study examined whether the non-academic concept of psychology among inexperienced Japanese students differed from the concept held by students of other countries. In Japanese, psychology is referred to as , which includes the ideographic character , literally meaning heart. This fact led us to hypothesize that psychology will be disproportionately associated with emotion among Japanese students. Indeed, our findings among Japanese students produced a J-curve, indicating that our prediction was true. We posit that this issue has never been discussed in Japan because a majority of people share this concept of psychology. In our second study, we examined not only preference in students' association of intelligence or emotion but also heart or mind with psychology. Finally, we identified whether students' believe that psychology encompasses both the heart and the mind. We conclude with a discussion of the importance of explicitly defining the non-academic concept of psychology in early psychology education in Japan."
24808599,Ensemble learning in fixed expansion layer networks for mitigating catastrophic forgetting,Robert Coop,"Catastrophic forgetting is a well-studied attribute of most parameterized supervised learning systems. A variation of this phenomenon, in the context of feedforward neural networks, arises when nonstationary inputs lead to loss of previously learned mappings. The majority of the schemes proposed in the literature for mitigating catastrophic forgetting were not data driven and did not scale well. We introduce the fixed expansion layer (FEL) feedforward neural network, which embeds a sparsely encoding hidden layer to help mitigate forgetting of prior learned representations. In addition, we investigate a novel framework for training ensembles of FEL networks, based on exploiting an information-theoretic measure of diversity between FEL learners, to further control undesired plasticity. The proposed methodology is demonstrated on a basic classification task, clearly emphasizing its advantages over existing techniques. The architecture proposed can be enhanced to address a range of computational intelligence tasks, such as regression problems and system control."
24799770,Genetic and Environmental Influences on Cognition Across Development and Context,Elliot M Tucker-Drob,"Genes account for between approximately 50% and 70% of the variation in cognition at the population level. However, population-level estimates of heritability potentially mask marked subgroup differences. We review the body of empirical evidence indicating that (a) genetic influences on cognition increase from infancy to adulthood, and (b) genetic influences on cognition are maximized in more advantaged socioeconomic contexts (i.e., a Gene × Socioeconomic Status interaction). We discuss potential mechanisms underlying these effects, particularly transactional models of cognitive development. Transactional models predict that people in high-opportunity contexts actively evoke and select positive learning experiences on the basis of their genetic predispositions; these learning experiences, in turn, reciprocally influence cognition. The net result of this transactional process is increasing genetic influence with increasing age and increasing environmental opportunity."
24791121,Development of visual-motor perception in pupils with expressive writing disorder and pupils without expressive writing disorder: a comparative statistical analysis,Tahereh Mesrahi,"Background: Learning disability is one of the most noticed subjects for behavioral specialists. Most of thelearning difficulties are caused by senso-motor development and neurological organization. The main purposeof the present research is to examine the role of delayed perceptual-motor development and brain damage inorigination of expressive writing disorder (EWD). Methods: The studied sample is 89 pupils divided into two groups, one of which is pupils with expressivewriting disorder (n=43) and the other is pupils without expressive writing disorder (n=46), consisted of secondand third grade elementary school students. First of all, students with EWD are selected through dictation testand intelligence test, and then the two groups, students with and without EWD, would take the Bender Gestalttest. The average score of perceptual visual-motor development and brain damage of two groups is comparedusing T test for independent groups and χ2 test. Results: Results show that there is a significant difference in perceptual visual-motor development betweenstudents with EWD and students without EWD (p<0.01). Based on the results, perceptual-motor development ofstudents with EWD is lower than students without EWD. There is no significant difference in brain damagebetween those with EWD and healthy people, (p> 0.05). Conclusion: Based on our findings it could be concluded that those who are relatively more developed thantheir peers, in terms of visual-motor perception, are more successful in education, especially in expressive writing."
24761321,Computational Intelligence and Game Design for Effective At-Home Stroke Rehabilitation,Nunzio Alberto Borghese,"Objective: The aim of this article is to describe a game engine that has all the characteristics needed to support rehabilitation at home. The low-cost tracking devices recently introduced in the entertainment market allow measuring reliably at home, in real time, players' motion with a hands-free approach. Such systems have also become a source of inspiration for researchers working in rehabilitation. Computer games appear suited to guide rehabilitation because of their ability to engage the users. However, commercial videogames and game engines lack the peculiar functionalities required in rehabilitation: Games should be adapted to each patient's functional status, and monitoring the patient's motion is mandatory to avoid maladaptation. Feedback on performance and progression of the exercises should be provided. Lastly, several tracking devices should be considered, according to the patient's pathology and rehabilitation aims. Subjects and methods: We have analyzed the needs of the clinicians and of the patients associated in performing rehabilitation at home, identifying the characteristics that the game engine should have. Results: The result of this analysis has led us to develop the Intelligent Game Engine for Rehabilitation (IGER) system, which combines the principles upon which commercial games are designed with the needs of rehabilitation. IGER is heavily based on computational intelligence: Adaptation of the difficulty level of the exercise is carried out through a Bayesian framework from the observation of the patient's success rate. Monitoring is implemented in fuzzy systems and based on rules defined for the exercises by clinicians. Several devices can be attached to IGER through an input abstraction layer, like the Nintendo® (Kyoto, Japan) Wii™ Balance Board™, the Microsoft® (Redmond, WA) Kinect, the Falcon from Novint Technologies (Albuquerque, NM), or the Tyromotion (Graz, Austria) Timo® plate balance board. IGER is complemented with videogames embedded in a specific taxonomy developed to support rehabilitation progression through time. Conclusions: A few games aimed at postural rehabilitation have been designed and developed to test the functionalities of the IGER system. The preliminary results of tests on normal elderly people and patients with the supervision of clinicians have shown that the IGER system indeed does feature the characteristics required to support rehabilitation at home and that it is ready for clinical pilot testing at patients' homes."
24758443,"Emotional intelligence, perceived stress and burnout among resident doctors: an assessment of the relationship",M K Swami,"Background: Burnout is an increasing problem among the medical fraternity, especially resident doctors. We assessed the relationship between burnout, emotional intelligence and perceived stress in an attempt to explore a probable solution. Methods: Residents in the departments of medicine (n=29) and surgery (n=27) were assessed with a specially designed proforma consisting of participant's profile sheet, Shirom-Melamed Burnout Measure (SMBM), Trait Emotional Intelligence Questionnaire and Perceived Stress Scale (PSS). Correlation and mediational analysis were used to analyse the data. Results: The findings showed a positive correlation of burnout with perceived stress and a negative correlation with trait emotional intelligence (EI). Perceived stress also showed a negative correlation with trait EI. Mediation analysis showed that perceived stress mediates the effect of trait EI on burnout. Conclusion: Enhancing EI through training may be an important intervention for targeting burnout."
24754811,"Intelligence, gender, and assessment method affect the accuracy of self-estimated intelligence",Sophie von Stumm,"Self-estimates of intelligence (SEI), which influence to what extent people engage in and how well they perform at a task, are subject to distortion. Here, the distortion effects of individual differences in intelligence (IQ), gender, and proximal (with reference to test performance) and distal (with reference to IQ score distributions) assessments of SEI were tested in a sample of 200 British adults. The results showed that (1) people with lower IQ misestimated their SEI to a greater extent than people with high IQ; (2) this effect was more pronounced in distal than proximal measures of SEI; (3) SEI means did not differ significantly across gender but the IQ-related level of SEI distortion did; (4) this effect was greater for distal than proximal measurement; and (5) proximal SEI were on average less distorted than distal SEI scores and also correlated more closely with IQ. Overall, the findings suggest that the distal SEI assessment method resulted in greater gender- and IQ-related distortions of SEI."
24754807,Sub-threshold autism traits: the role of trait emotional intelligence and cognitive flexibility,Elif Gökçen,"Theory and research suggests that features of autism are not restricted to individuals diagnosed with autism spectrum disorders (ASDs), and that autism-like traits vary throughout the general population at lower severities. The present research first investigated the relationship of autism traits with trait emotional intelligence and empathy in a sample of 163 adults aged between 18 and 51 years (44% male). It then examined performance on a set of tasks assessing social cognition and cognitive flexibility in 69 participants with either high or low scores on ASD traits. Results confirm that there is pronounced variation within the general population relating to ASD traits, which reflect similar (though less severe) social-cognitive and emotional features to those observed in ASDs."
24744452,"Associations between cortical thickness and general intelligence in children, adolescents and young adults",Kyle Menary,"Neuroimaging research indicates that human intellectual ability is related to brain structure including the thickness of the cerebral cortex. Most studies indicate that general intelligence is positively associated with cortical thickness in areas of association cortex distributed throughout both brain hemispheres. In this study, we performed a cortical thickness mapping analysis on data from 182 healthy typically developing males and females ages 9 to 24 years to identify correlates of general intelligence (g) scores. To determine if these correlates also mediate associations of specific cognitive abilities with cortical thickness, we regressed specific cognitive test scores on g scores and analyzed the residuals with respect to cortical thickness. The effect of age on the association between cortical thickness and intelligence was examined. We found a widely distributed pattern of positive associations between cortical thickness and g scores, as derived from the first unrotated principal factor of a factor analysis of Wechsler Abbreviated Scale of Intelligence (WASI) subtest scores. After WASI specific cognitive subtest scores were regressed on g factor scores, the residual score variances did not correlate significantly with cortical thickness in the full sample with age covaried. When participants were grouped at the age median, significant positive associations of cortical thickness were obtained in the older group for g-residualized scores on Block Design (a measure of visual-motor integrative processing) while significant negative associations of cortical thickness were observed in the younger group for g-residualized Vocabulary scores. These results regarding correlates of general intelligence are concordant with the existing literature, while the findings from younger versus older subgroups have implications for future research on brain structural correlates of specific cognitive abilities, as well as the cognitive domain specificity of behavioral performance correlates of normative gray matter thinning during adolescence."
24720233,Emotional competence (intelligence) and vocational choice among candidates for the ordained ministry,Richard A Hunt,"This research examined the ways in which vocational interests of United Methodist candidates for ordained ministry are related to Emotional Competence (EC) as measured by Inventory of Religious Activities and Interests (IRAI) ministry interests and 16PF personality scales. Results show two primary clusters of ministry interests that are related to EC. Recommendations include ways that supervisors, mentors, and pastor-staff-parish relations committees can use this information to enable pastors to grow in their EC skills."
24695779,Effects of Medhya Rasayana and Yogic practices in improvement of short-term memory among school-going children,Atul Shankar Sarokte,"Excellent memory, extraordinary intelligence, great academic achievement, and successful career are the dreams of every individual in this era of competition and professionalism. A good memory power acts as a catalyst in all walks of life, be it academic success or maintenance of personal relationships. It is observed that an average man uses only 10% of his natural memory. Remaining 90% is left unused in a haphazard manner. As per the American psychologist Carl Emil Seashore, if one is alert and makes systematic attempts to awaken and use the natural memory properly, his/her natural memory would be activated creatively and would offer benefits of higher order. A comparative study was conducted comprising 90 subjects to know the efficacy of Medhya Rasayana and Yogic practices in short-term memory of school-going children. The study was conducted over a period of 3 months. It was an open, prospective, and randomized clinical study. The subjects of group A formed the control group and they were observed silently for 3 months without any intervention. The subjects in group B were administered with Choorna (powder) of four Medhya Rasayanas, Mandukaparni (Centella asiatica Linn.), Yashtimadhu (Glycyrrhiza glabra Linn.), Guduchi [Tinospora cordifolia (Willd.) Miers ex Hook. f. and Thoms.], and Sankhapushpi (Convolvulus pluricaulis Choisy), at a dose of 2 g twice daily with milk. Subjects belonging to group C were advocated regular Yogic practices of Asanas, Pranayama, and Dhyana. Further study revealed that among the three groups, group B treated with Medhya Rasayana showed highly significant and most effective changes with respect to objective parameters in the tests, i.e. (1) short-term memory test pictures and (2) serial recall effects test using memory scope. Among the three groups, group C treated with Yogic practices showed highly significant and most effective changes with respect to subjective and objective parameters in mini mental status scale i.e. test 3. The treatment is cost effective and devoid of side effects, which can be beneficial for the community. Mean increase after first follow-up in group B was higher as compared to group C. This shows that Medhya Rasayanas are quick in action and bring about improvement in memory faster when compared with Yogic practices. So, on the whole, group B can be considered to be the most efficient among the three groups."
24693814,Ammons quick test validity among randomly selected referrals,Robert John Zagar,"After selection using a random number table, from volunteer referrals, 89 Youth (61 boys, 28 girls; 48 African Americans, 2 Asian Americans, 27 Euro-Americans, 12 Hispanic Americans), and 147 Adults (107 men, 40 women; 11 African Americans, 6 Asian Americans, 124 Euro-Americans, 6 Hispanic Americans) were administered the Ammons Quick Test (QT). Means, confidence intervals, standard deviations, and Pearson product-moment correlations among tests were computed. The Ammons QT was moderately to strongly and significantly correlated statistically with: the Peabody Picture Vocabulary Test-3b (PPVT-3b); the Vineland Adaptive Behavior Scales-2 Parent/Teacher Form; the Wechsler Intelligence Scale for Children (WISC-4) or the Wechsler Adult Intelligence Scale (WAIS-4); and the Wide Range Achievement Test-Fourth Edition (WRAT-4) Blue and Green Forms. After 51 years, the original norms for the Ammons QT remain valid measures of receptive vocabulary, verbal intelligence, and auditory information processing useful to clinicians."
24683760,Effect of structured teaching programme on the knowledge and opinion of nursing students towards prevention of mental retardation,Kalyani Moharana,"Mental retardation is a condition of arrested or incomplete development of mind which is characterised by impairment of skills manifested during the developmental period that contribute to the level of intelligence that is cognitive, language, motor and social abilities (WHO). A quasi experimental study was conducted at College of Nursing, NIMHANS, Bangalore with the objective to assess the effectiveness of structured teaching programme on the level of knowledge & opinion of nursing students towards primary prevention of mental retardation. The 44, 3rd yr BSc nursing students were selected by purposive sampling design. Self administered knowledge questionnaire and opinion scale were used as tools. The knowledge questionnaire consisted of four domains: concept, prenatal, intranatal, postnatal causes and prevention of mental retardation. Opinion scale was prepared as statement. The scale was divided into two domains positive and negatively worded. The interpretation was: higher the score, higher the positive opinion. The score ranging from 30-75 were negative, 76-90 neutral and 91-150 as positive opinion. This study revealed that knowledge score of the subjects were significantly increased at p-value 0.001. Opinion score, analysed using McNamer's chi-square test, indicated that a significant change occurred after structured teaching programme. It is concluded that structured teaching programme seems to be highly effective in improving knowledge and opinion towards primary prevention of mental disorders."
