PMID,Title,Author,Abstract
34692154,A constructive model for collective intelligence,Wei Zhang,"Natural phenomena of collective intelligence (CI) occurring in physical space show a potential approach to effective large-scale human collaboration in cyberspace. Based on existing explanatory understanding of CI, this perspective proposes a constructive model for building artificial CI systems, i.e., problem-oriented CI phenomena with AI-powered information integration and feedback."
32735906,Detection of Progressive Glaucomatous Optic Nerve Damage on Fundus Photographs with Deep Learning,Felipe A Medeiros,"Purpose: To investigate whether predictions of retinal nerve fiber layer (RNFL) thickness obtained from a deep learning model applied to fundus photographs can detect progressive glaucomatous changes over time. Design: Retrospective cohort study. Participants: Eighty-six thousand one hundred twenty-three pairs of color fundus photographs and spectral-domain (SD) OCT images collected during 21 232 visits from 8831 eyes of 5529 patients with glaucoma or glaucoma suspects. Methods: A deep learning convolutional neural network was trained to assess fundus photographs and to predict SD OCT global RNFL thickness measurements. The model then was tested on an independent sample of eyes that had longitudinal follow-up with both fundus photography and SD OCT. The ability to detect eyes that had statistically significant slopes of SD OCT change was assessed by receiver operating characteristic (ROC) curves. The repeatability of RNFL thickness predictions was investigated by measurements obtained from multiple photographs that had been acquired during the same day. Main outcome measures: The relationship between change in predicted RNFL thickness from photographs and change in SD OCT RNFL thickness over time. Results: The test sample consisted of 33 466 pairs of fundus photographs and SD OCT images collected during 7125 visits from 1147 eyes of 717 patients. Eyes in the test sample were followed up for an average of 5.3 ± 3.3 years, with an average of 6.2 ± 3.8 visits. A significant correlation was found between change over time in predicted and observed RNFL thickness (r = 0.76; 95% confidence interval [CI], 0.70-0.80; P < 0.001). Retinal nerve fiber layer predictions showed an ROC curve area of 0.86 (95% CI, 0.83-0.88) to discriminate progressors from nonprogressors. For detecting fast progressors (slope faster than 2 μm/year), the ROC curve area was 0.96 (95% CI, 0.94-0.98), with a sensitivity of 97% for 80% specificity and 85% for 90% specificity. For photographs obtained at the same visit, the intraclass correlation coefficient was 0.946 (95% CI, 0.940-0.952), with a coefficient of variation of 3.2% (95% CI, 3.1%-3.3%). Conclusions: A deep learning model was able to obtain objective and quantitative estimates of RNFL thickness that correlated well with SD OCT measurements and potentially could be used to monitor for glaucomatous changes over time."
32735590,Competitive intelligence and its impact on innovations in tourism industry of China: An empirical research,Yanli Bao,"Competitive intelligence (CI) has attracted much attention in innovation research, but most of existing literature studies CI in technological innovations in manufacturing industry, with little empirical research in context of service businesses. This paper first analyzes CI of service businesses and then uses covariance-based structural equation modeling (SEM) on a data of 333 got from the survey in tourism enterprises of east China to test the effect of customer CI, opponent CI, and supplier CI on service innovations in China's service industry. Results show that opponent CI and supplier CI have positive influence on both exploratory and exploitative service innovation. Customer CI has more obvious positive influence on exploratory service innovation than on exploitative service innovation."
32735549,Prognostic Modeling of COVID-19 Using Artificial Intelligence in the United Kingdom: Model Development and Validation,Ahmed Abdulaal,"Background: The current severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) outbreak is a public health emergency and the case fatality rate in the United Kingdom is significant. Although there appear to be several early predictors of outcome, there are no currently validated prognostic models or scoring systems applicable specifically to patients with confirmed SARS-CoV-2. Objective: We aim to create a point-of-admission mortality risk scoring system using an artificial neural network (ANN). Methods: We present an ANN that can provide a patient-specific, point-of-admission mortality risk prediction to inform clinical management decisions at the earliest opportunity. The ANN analyzes a set of patient features including demographics, comorbidities, smoking history, and presenting symptoms and predicts patient-specific mortality risk during the current hospital admission. The model was trained and validated on data extracted from 398 patients admitted to hospital with a positive real-time reverse transcription polymerase chain reaction (RT-PCR) test for SARS-CoV-2. Results: Patient-specific mortality was predicted with 86.25% accuracy, with a sensitivity of 87.50% (95% CI 61.65%-98.45%) and specificity of 85.94% (95% CI 74.98%-93.36%). The positive predictive value was 60.87% (95% CI 45.23%-74.56%), and the negative predictive value was 96.49% (95% CI 88.23%-99.02%). The area under the receiver operating characteristic curve was 90.12%. Conclusions: This analysis demonstrates an adaptive ANN trained on data at a single site, which demonstrates the early utility of deep learning approaches in a rapidly evolving pandemic with no established or validated prognostic scoring systems."
32735493,Artificial Intelligence in Lung Cancer: Bridging the Gap Between Computational Power and Clinical Decision-Making,Jaryd R Christie,"Lung cancer remains the most common cause of cancer death worldwide. Recent advances in lung cancer screening, radiotherapy, surgical techniques, and systemic therapy have led to increasing complexity in diagnosis, treatment decision-making, and assessment of recurrence. Artificial intelligence (AI)-based prediction models are being developed to address these issues and may have a future role in screening, diagnosis, treatment selection, and decision-making around salvage therapy. Imaging plays an essential role in all components of lung cancer management and has the potential to play a key role in AI applications. Artificial intelligence has demonstrated value in prognostic biomarker discovery in lung cancer diagnosis, treatment, and response assessment, putting it at the forefront of the next phase of personalized medicine. However, although exploratory studies demonstrate potential utility, there is a need for rigorous validation and standardization before AI can be utilized in clinical decision-making. In this review, we will provide a summary of the current literature implementing AI for outcome prediction in lung cancer. We will describe the anticipated impact of AI on the management of patients with lung cancer and discuss the challenges of clinical implementation of these techniques."
32735452,Utilizing Artificial Intelligence for Head and Neck Cancer Outcomes Prediction From Imaging,Tricia Chinnery,"Artificial intelligence (AI)-based models have become a growing area of interest in predictive medicine and have the potential to aid physician decision-making to improve patient outcomes. Imaging and radiomics play an increasingly important role in these models. This review summarizes recent developments in the field of radiomics for AI in head and neck cancer. Prediction models for oncologic outcomes, treatment toxicity, and pathological findings have all been created. Exploratory studies are promising; however, validation studies that demonstrate consistency, reproducibility, and prognostic impact remain uncommon. Prospective clinical trials with standardized procedures are required for clinical translation."
32734767,Patients' perspectives on radiation in health care,L A Hunt,"As radiation therapy is needed by approximately 50% of patients with cancer there needs to be ongoing research to ensure that radiation therapy targets the tumour effectively and minimises potential side effects. Major advances in radiation therapy, due to improvements in engineering and computing, have made it more precise, reducing side effects and improving cancer control. Patients need to be informed of its risks, both short and long term, to enable them to be active participants in their cancer treatment path."
32734760,Health care for deep space explorers,R B Thirsk,"[Formula: see text]There is a growing desire amongst space-faring nations to venture beyond the Van Allen radiation belts to a variety of intriguing locations in our inner solar system. Mars is the ultimate destination. In two decades, we hope to vicariously share in the adventure of an intrepid crew of international astronauts on the first voyage to the red planet.This will be a daunting mission with an operational profile unlike anything astronauts have flown before. A flight to Mars will be a 50-million-kilometre journey. Interplanetary distances are so great that voice and data communications between mission control on Earth and a base on Mars will feature latencies up to 20 min. Consequently, the ground support team will not have real-time control of the systems aboard the transit spacecraft nor the surface habitat. As cargo resupply from Earth will be impossible, the onboard inventory of equipment and supplies must be planned strategically in advance. Furthermore, the size, amount, and function of onboard equipment will be constrained by limited volume, mass, and power allowances.With less oversight from the ground, all vehicle systems will need to be reliable and robust. They must function autonomously. Astronauts will rely on their own abilities and onboard resources to deal with urgent situations that will inevitably arise.The deep space environment is hazardous. Zero- and reduced-gravity effects will trigger deconditioning of the cardiovascular, musculoskeletal, and other physiological systems. While living for 2.5 years in extreme isolation, Mars crews will experience psychological stressors such as loss of privacy, reduced comforts of living, and distant relationships with family members and friends.Beyond Earth's protective magnetosphere, the fluence of ionising radiation will be higher. Longer exposure of astronauts to galactic cosmic radiation could result in the formation of cataracts, impaired wound healing, and degenerative tissue diseases. Genetic mutations and the onset of cancer later in life are also possible. Acute radiation sickness and even death could ensue from a large and unpredictable solar particle event.There are many technological barriers that prevent us from carrying out a mission to Mars today. Before launching the first crew, we will need to develop processes for in-situ resource utilisation. Rather than bringing along large quantities of oxygen, water, and propellant from Earth, future astronauts will need to produce some of these consumables from local space-based resources.Ion propulsion systems will be needed to reduce travel times to interplanetary destinations, and we will need systems to land larger payloads (up to 40 tonnes of equipment and supplies for a human mission) on planetary surfaces. These and other innovations will be needed before humans venture into deep space.However, it is the delivery of health care that is regarded as one of the most important obstacles to be overcome. Physicians, biomedical engineers, human factors specialists, and radiation experts are re-thinking operational concepts of health care, crew performance, and life support. Traditional oversight of astronaut health by ground-based medical teams will no longer be possible, particularly in urgent situations. Aborting a deep space mission to medically evacuate an ill or injured crew member to Earth will not be an option. Future crews must have all of the capability and responsibility to monitor and manage their own health. Onboard medical resources must include imaging, surgery, and emergency care, as well as laboratory analysis of blood, urine, and other biospecimens.At least one member of the crew should be a broadly trained physician with experience in remote medicine. She/he will be supported by an onboard health informatics network that is artificial intelligence enabled to assist with monitoring, diagnosis, and treatment. In other words, health care in deep space will become more autonomous, intelligent, and point of care.The International Commission on Radiological Protection (ICRP) has dedicated a day of its 5th International Symposium in Adelaide to the theme of Mars exploration. ICRP has brought global experts together today to consider the pressing issues of radiation protection. There are many issues to be addressed: Can the radiation countermeasures currently used in low Earth orbit be adapted for deep space?Can materials of low atomic weight be integrated into the structure of deep space vehicles to shield the crew?In the event of a major solar particle event, could a safe haven shelter the crew adequately from high doses of radiation?Could Martian regolith be used as shielding material for subterranean habitats?Will shielding alone be sufficient to minimise exposure, or will biological and pharmacological countermeasures also be needed?Beyond this symposium, I will value the continued involvement of ICRP in space exploration. ICRP has recently established Task Group 115 to examine radiation effects on the health of astronaut crew and to recommend exposure limits. This work will be vital. Biological effects of radiation could not only impact the health, well-being, and performance of future explorers, but also the length and quality of their lives.While humanity has dreamed of travel to the red planet for decades, an actual mission is finally starting to feel like a possibility. How exciting! I thank ICRP for its ongoing work to protect radiation workers on Earth. In the future, we will depend on counsel from ICRP to protect extraterrestrial workers and to enable the exploration of deep space."
32734566,Fluoride Exposure Affects Glutamine Uptake in Müller Glia Cells,Ana L García-López,"Fluoride, a pollutant present in contaminated ground water, oral care products, food, and pesticides, has deleterious effects in the structure and function of the central nervous system. Among the established neurological defects described in the exposed population, a reduced score in intelligence quotient tests in children of contaminated areas has gained attention over the past years. Maternal fluoride exposure during gestation decreases learning and memory abilities that correlate with a significant diminution of glutamate receptors expression. Since the involvement of glia cells in the maintenance and regulation of glutamatergic synapses is well-documented, in this contribution, we characterized the effect of fluoride exposure in the regulation of glia glutamine transporters. To this end, we used the Müller glia cell line, Mio-M1, and through the use of [3H]L-Glutamine uptake experiments and a Western blot approach, we demonstrate here the functional expression of system N of glutamine transporters, SNAT3 and SNAT5, in this model of human retina radial glia cells. Furthermore, these transporters interact with the glutamate transporter excitatory amino acid transporter 1, in an activity-dependent manner. Fluoride treatment reduces glutamine uptake and cell membrane [3H]glutamine surface binding, in good correlation with a decrease in SNAT3 and 5 protein levels. These results demonstrate that glia cells respond to the presence of fluoride reducing glutamine mobilization and by these means decreases glutamate turnover suggesting a disruption of glutamatergic transmission."
32734465,Emotional intelligence and eating disorders: a systematic review,Juana Romero-Mesa,"Background: Prior research indicates that deficits in emotional abilities are key predictors of the onset and maintenance of eating disorders (ED). As a relatively new emotion-related construct, emotional intelligence (EI) comprises a set of basic emotional abilities. Preliminary research suggests that deficits in EI are linked with disordered eating and other impulsive behaviours. Also, previous research reveals that emotional and socio-cognitive abilities, as well as ED symptomatology, varies across lifespan development. However, while the findings suggest promising results for the development of potential effective treatments for emotional deficits and disordered eating, it is difficult to summarise the relationship between EI and ED due to the diversity of theoretical approaches and variety of EI and ED measures. Objective: Our study, therefore, aimed to systematically review the current evidence on EI and ED in both the general and clinical populations and across different developmental stages. Methods: The databases examined were Medline, PsycInfo and Scopus, and 15 eligible articles were identified. Preferred Reporting Items for Systematic Reviews and Meta-analyses (PRISMA) guidelines were used. Results: All the studies reviewed indicated negative associations between EI and the dimensions of ED. Additionally, several mechanisms involved, namely adaptability, stress tolerance and emotional regulation were highlighted. Conclusion: The systematic review suggests promising but challenging preliminary evidence of the associations between EI and the dimensions of ED across diverse stages of development. In addition, future research, practical implications and limitations are discussed. Level of evidence i: Systematic review."
32734172,"Veterinary informatics: forging the future between veterinary medicine, human medicine, and One Health initiatives-a joint paper by the Association for Veterinary Informatics (AVI) and the CTSA One Health Alliance (COHA)",Jonathan L Lustgarten,"Objectives: This manuscript reviews the current state of veterinary medical electronic health records and the ability to aggregate and analyze large datasets from multiple organizations and clinics. We also review analytical techniques as well as research efforts into veterinary informatics with a focus on applications relevant to human and animal medicine. Our goal is to provide references and context for these resources so that researchers can identify resources of interest and translational opportunities to advance the field. Methods and results: This review covers various methods of veterinary informatics including natural language processing and machine learning techniques in brief and various ongoing and future projects. After detailing techniques and sources of data, we describe some of the challenges and opportunities within veterinary informatics as well as providing reviews of common One Health techniques and specific applications that affect both humans and animals. Discussion: Current limitations in the field of veterinary informatics include limited sources of training data for developing machine learning and artificial intelligence algorithms, siloed data between academic institutions, corporate institutions, and many small private practices, and inconsistent data formats that make many integration problems difficult. Despite those limitations, there have been significant advancements in the field in the last few years and continued development of a few, key, large data resources that are available for interested clinicians and researchers. These real-world use cases and applications show current and significant future potential as veterinary informatics grows in importance. Veterinary informatics can forge new possibilities within veterinary medicine and between veterinary medicine, human medicine, and One Health initiatives."
32734165,Estimating real-world performance of a predictive model: a case-study in predicting mortality,Vincent J Major,"Objective: One primary consideration when developing predictive models is downstream effects on future model performance. We conduct experiments to quantify the effects of experimental design choices, namely cohort selection and internal validation methods, on (estimated) real-world model performance. Materials and methods: Four years of hospitalizations are used to develop a 1-year mortality prediction model (composite of death or initiation of hospice care). Two common methods to select appropriate patient visits from their encounter history (backwards-from-outcome and forwards-from-admission) are combined with 2 testing cohorts (random and temporal validation). Two models are trained under otherwise identical conditions, and their performances compared. Operating thresholds are selected in each test set and applied to a ""real-world"" cohort of labeled admissions from another, unused year. Results: Backwards-from-outcome cohort selection retains 25% of candidate admissions (n = 23 579), whereas forwards-from-admission selection includes many more (n = 92 148). Both selection methods produce similar performances when applied to a random test set. However, when applied to the temporally defined ""real-world"" set, forwards-from-admission yields higher areas under the ROC and precision recall curves (88.3% and 56.5% vs. 83.2% and 41.6%). Discussion: A backwards-from-outcome experiment manipulates raw training data, simplifying the experiment. This manipulated data no longer resembles real-world data, resulting in optimistic estimates of test set performance, especially at high precision. In contrast, a forwards-from-admission experiment with a temporally separated test set consistently and conservatively estimates real-world performance. Conclusion: Experimental design choices impose bias upon selected cohorts. A forwards-from-admission experiment, validated temporally, can conservatively estimate real-world performance. Lay summary: The routine care of patients stands to benefit greatly from assistive technologies, including data-driven risk assessment. Already, many different machine learning and artificial intelligence applications are being developed from complex electronic health record data. To overcome challenges that arise from such data, researchers often start with simple experimental approaches to test their work. One key component is how patients (and their healthcare visits) are selected for the study from the pool of all patients seen. Another is how the group of patients used to create the risk estimator differs from the group used to evaluate how well it works. These choices complicate how the experimental setting compares to the real-world application to patients. For example, different selection approaches that depend on each patient's future outcome can simplify the experiment but are impractical upon implementation as these data are unavailable. We show that this kind of ""backwards"" experiment optimistically estimates how well the model performs. Instead, our results advocate for experiments that select patients in a ""forwards"" manner and ""temporal"" validation that approximates training on past data and implementing on future data. More robust results help gauge the clinical utility of recent works and aid decision-making before implementation into practice."
32734163,Artificial intelligence-based conversational agent to support medication prescribing,Anita M Preininger,"Objective: This article describes the system architecture, training, initial use, and performance of Watson Assistant (WA), an artificial intelligence-based conversational agent, accessible within Micromedex®. Materials and methods: The number and frequency of intents (target of a user's query) triggered in WA during its initial use were examined; intents triggered over 9 months were compared to the frequency of topics accessed via keyword search of Micromedex. Accuracy of WA intents assigned to 400 queries was compared to assignments by 2 independent subject matter experts (SMEs), with inter-rater reliability measured by Cohen's kappa. Results: In over 126 000 conversations with WA, intents most frequently triggered involved dosing (N = 30 239, 23.9%) and administration (N = 14 520, 11.5%). SMEs with substantial inter-rater agreement (kappa = 0.71) agreed with intent mapping in 247 of 400 queries (62%), including 16 queries related to content that WA and SMEs agreed was unavailable in WA. SMEs found 57 (14%) of 400 queries incorrectly mapped by WA; 112 (28%) queries unanswerable by WA included queries that were either ambiguous, contained unrecognized typographical errors, or addressed topics unavailable to WA. Of the queries answerable by WA (288), SMEs determined 231 (80%) were correctly linked to an intent. Discussion: A conversational agent successfully linked most queries to intents in Micromedex. Ongoing system training seeks to widen the scope of WA and improve matching capabilities. Conclusion: WA enabled Micromedex users to obtain answers to many medication-related questions using natural language, with the conversational agent facilitating mapping to a broader distribution of topics than standard keyword searches."
